Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.082,0.086,0.018,2.8,0.073,margarine with yoghurt,0.027,88.0,0.0,0.0,9.8,0.058,margarine with yoghurt
0.4,0.005,0.065,10.2,3.7,sunflower seed butter,0.7,99.0,1.7,0.9,8.8,2.8,sunflower seed butter
0.0,0.0,0.0,0.0,0.0,hazelnut oil,0.0,120.0,0.0,0.0,13.6,0.0,hazelnut oil
0.0,0.0,0.0,0.0,0.0,menhaden fish oil,0.0,1966.0,0.0,0.0,218.0,0.0,menhaden fish oil
0.0,0.0,0.0,0.0,0.0,cod liver fish oil,0.0,123.0,0.0,0.0,13.6,0.0,cod liver fish oil
0.0,0.0,0.0,0.0,0.0,sardine oil,0.0,123.0,0.0,0.0,13.6,0.0,sardine oil
0.0,0.0,0.0,0.0,0.0,cupu assu oil,0.0,120.0,0.0,0.0,13.6,0.0,cupu assu oil
0.0,0.0,0.0,0.0,0.0,lard,0.0,115.0,0.0,0.0,12.8,0.0,lard
0.0,0.002,0.031,153.6,3.8,sesame butter,3.1,94.0,0.0,0.9,8.1,2.9,sesame butter
0.0,0.067,0.019,0.6,0.1,margarine spread,0.078,59.0,0.0,0.0,6.7,0.082,margarine spread
0.0,0.0,0.0,0.0,0.0,lard vegetable oil,0.0,115.0,0.0,0.0,12.8,0.0,lard vegetable oil
0.0,0.0,0.0,0.0,0.0,shortening,0.0,113.0,0.0,0.0,12.8,0.0,shortening
0.092,0.052,0.081,2.9,0.1,vegetable oil spread,0.0,75.0,0.0,0.0,8.4,0.007,vegetable oil spread
0.0,0.0,0.0,0.0,0.0,cottonseed oil,0.0,120.0,0.0,0.0,13.6,0.0,cottonseed oil
0.051,0.004,0.1,5.7,0.4,vegetable oil spread fat free,0.041,6.0,0.0,0.0,0.5,0.2,vegetable oil spread fat free
0.051,0.006,0.1,0.0,0.0,soy margarine,0.0,88.0,0.0,0.0,9.9,0.0,soy margarine
0.036,0.001,0.1,0.068,0.017,margarine with salt,0.0,100.0,0.0,0.0,11.3,0.031,margarine with salt
0.076,0.084,0.091,0.059,0.018,margarine,0.0,102.0,0.0,0.0,11.5,0.037,margarine
0.0,0.0,0.0,0.0,0.0,salmon fish oil,0.0,123.0,0.0,0.0,13.6,0.0,salmon fish oil
0.0,0.0,0.0,0.0,0.0,nutmeg butter oil,0.0,1927.0,0.0,0.0,218.0,0.0,nutmeg butter oil
0.0,0.017,0.037,55.5,3.0,almond butter,0.6,98.0,0.7,1.6,8.9,3.4,almond butter
0.0,0.0,0.0,0.0,1.0,sour cream shoprite,0.0,60.0,0.014,0.0,5.0,0.0,sour cream shoprite
0.0,0.0,0.0,0.0,0.0,ucuhuba butter oil,0.0,120.0,0.0,0.0,13.6,0.0,ucuhuba butter oil
0.0,0.0,0.0,0.0,0.0,chicken fat,0.0,115.0,0.0,0.0,12.8,0.0,chicken fat
0.0,0.0,0.0,0.0,0.0,herring fish oil,0.0,123.0,0.0,0.0,13.6,0.0,herring fish oil
0.0,0.0,0.009,0.0,0.0,bacon grease,0.0,39.0,0.0,0.0,4.3,0.0,bacon grease
0.0,0.0,0.0,0.0,0.0,turkey fat,0.0,45.0,0.0,0.0,5.0,0.0,turkey fat
0.0,0.0,0.0,0.0,0.0,beef tallow,0.0,115.0,0.0,0.0,12.8,0.0,beef tallow
0.0,0.0,0.0,0.0,0.0,goose fat,0.0,45.0,0.0,0.0,5.0,0.0,goose fat
0.0,0.0,0.0,0.0,0.0,duck fat,0.0,44.0,0.0,0.0,5.0,0.0,duck fat
0.0,0.0,0.0,0.0,0.0,mutton tallow,0.0,45.0,0.0,0.0,5.0,0.0,mutton tallow
0.0,0.0,0.0,0.0,0.0,grapeseed oil,0.0,120.0,0.0,0.0,13.6,0.0,grapeseed oil
0.0,0.0,0.0,0.0,0.0,sheanut oil,0.0,1927.0,0.0,0.0,218.0,0.0,sheanut oil
0.0,0.0,0.0,0.0,0.0,almond oil,0.0,120.0,0.0,0.0,13.6,0.0,almond oil
0.0,0.0,0.0,0.1,0.0,sunflower oil,0.0,120.0,0.0,0.0,13.6,0.0,sunflower oil
